snapshot_id,server_timestamp_ms,recv_time_ms,latency_ms
0,1765121509748,1765121509778,30
1,1765121509774,1765121509778,4
2,1765121509800,1765121509819,19
3,1765121509825,1765121509836,11
4,1765121509851,1765121509851,0
5,1765121509877,1765121509884,7
6,1765121509902,1765121509915,13
7,1765121509928,1765121509930,2
8,1765121509953,1765121509962,9
9,1765121509979,1765121509995,16
10,1765121510005,1765121510011,6
11,1765121510031,1765121510044,13
12,1765121510056,1765121510059,3
13,1765121510082,1765121510091,9
14,1765121510108,1765121510122,14
15,1765121510168,1765121510171,3
16,1765121510193,1765121510204,11
17,1765121510220,1765121510235,15
18,1765121510246,1765121510250,4
19,1765121510281,1765121510297,16
20,1765121510307,1765121510312,5
21,1765121510333,1765121510344,11
22,1765121510358,1765121510359,1
23,1765121510384,1765121510391,7
24,1765121510410,1765121510422,12
25,1765121510435,1765121510438,3
26,1765121510461,1765121510469,8
27,1765121510486,1765121510500,14
28,1765121510512,1765121510515,3
29,1765121510537,1765121510548,11
30,1765121510563,1765121510563,0
31,1765121510588,1765121510594,6
32,1765121510614,1765121510626,12
33,1765121510639,1765121510642,3
34,1765121510665,1765121510674,9
35,1765121510691,1765121510706,15
36,1765121510716,1765121510722,6
37,1765121510742,1765121510754,12
38,1765121510767,1765121510770,3
39,1765121510793,1765121510801,8
40,1765121510818,1765121510831,13
41,1765121510844,1765121510848,4
42,1765121510870,1765121510880,10
43,1765121510896,1765121510896,0
44,1765121510921,1765121510928,7
45,1765121510947,1765121510959,12
46,1765121510972,1765121510975,3
47,1765121510999,1765121511005,6
48,1765121511024,1765121511037,13
49,1765121511049,1765121511054,5
50,1765121511075,1765121511086,11
51,1765121511101,1765121511119,18
52,1765121511127,1765121511134,7
53,1765121511153,1765121511165,12
54,1765121511179,1765121511182,3
55,1765121511204,1765121511213,9
56,1765121511230,1765121511258,28
57,1765121511256,1765121511259,3
58,1765121511282,1765121511289,7
59,1765121511308,1765121511321,13
60,1765121511334,1765121511337,3
61,1765121511359,1765121511369,10
62,1765121511384,1765121511400,16
63,1765121511410,1765121511416,6
64,1765121511435,1765121511447,12
65,1765121511461,1765121511463,2
66,1765121511486,1765121511494,8
67,1765121511511,1765121511527,16
68,1765121511537,1765121511543,6
69,1765121511562,1765121511575,13
70,1765121511588,1765121511591,3
71,1765121511614,1765121511622,8
72,1765121511639,1765121511655,16
73,1765121511666,1765121511671,5
