server_timestamp_ms,client_id,snapshot_id,seq_num,cpu_percent,recv_time_ms,latency_ms
1765121795431,1,0,0,,,
1765121795431,1,0,,,1765121795444,13
1765121795457,1,1,1,,,
1765121795457,1,1,,,1765121795461,4
1765121795482,1,2,2,,,
1765121795482,1,2,,,1765121795496,14
1765121795508,1,3,3,,,
1765121795508,1,3,,,1765121795512,4
1765121795534,1,4,4,,,
1765121795534,1,4,,,1765121795546,12
1765121795560,1,5,5,,,
1765121795560,1,5,,,1765121795562,2
1765121795585,1,6,6,,,
1765121795585,1,6,,,1765121795594,9
1765121795611,1,7,7,,,
1765121795611,1,7,,,1765121795614,3
1765121795636,1,8,8,,,
1765121795636,1,8,,,1765121795649,13
1765121795662,1,9,9,,,
1765121795662,1,9,,,1765121795664,2
1765121795688,1,10,10,,,
1765121795688,1,10,,,1765121795700,12
1765121795713,1,11,11,,,
1765121795713,1,11,,,1765121795720,7
1765121795738,1,12,12,,,
1765121795738,1,12,,,1765121795751,13
1765121795763,1,13,13,,,
1765121795763,1,13,,,1765121795767,4
1765121795789,1,14,14,,,
1765121795789,1,14,,,1765121795798,9
1765121795815,1,15,15,,,
1765121795815,1,15,,,1765121795830,15
1765121795840,1,16,16,,,
1765121795840,1,16,,,1765121795847,7
1765121795866,1,17,17,,,
1765121795866,1,17,,,1765121795867,1
1765121795892,1,18,18,,,
1765121795892,1,18,,,1765121795908,16
1765121795917,1,19,19,,,
1765121795917,1,19,,,1765121795924,7
1765121795943,1,20,20,,,
1765121795943,1,20,,,1765121795954,11
1765121795968,1,21,21,,,
1765121795968,1,21,,,1765121795970,2
1765121795994,1,22,22,,,
1765121795994,1,22,,,1765121796002,8
1765121796019,1,23,23,,,
1765121796019,1,23,,,1765121796034,15
1765121796044,1,24,24,,,
1765121796044,1,24,,,1765121796050,6
1765121796070,1,25,25,,,
1765121796070,1,25,,,1765121796082,12
1765121796096,1,26,26,,,
1765121796096,1,26,,,1765121796098,2
1765121796122,1,27,27,,,
1765121796122,1,27,,,1765121796130,8
1765121796147,1,28,28,,,
1765121796147,1,28,,,1765121796162,15
1765121796173,1,29,29,,,
1765121796173,1,29,,,1765121796179,6
1765121796198,1,30,30,,,
1765121796198,1,30,,,1765121796211,13
1765121796224,1,31,31,,,
1765121796224,1,31,,,1765121796227,3
1765121796249,1,32,32,,,
1765121796249,1,32,,,1765121796258,9
1765121796275,1,33,33,,,
1765121796275,1,33,,,1765121796289,14
1765121796300,1,34,34,,,
1765121796300,1,34,,,1765121796306,6
1765121796326,1,35,35,,,
1765121796326,1,35,,,1765121796337,11
1765121796351,1,36,36,,,
1765121796351,1,36,,,1765121796353,2
1765121796377,1,37,37,,,
1765121796377,1,37,,,1765121796385,8
1765121796402,1,38,38,,,
1765121796402,1,38,,,1765121796416,14
1765121796428,1,39,39,,,
1765121796428,1,39,,,1765121796432,4
1765121796453,1,40,40,,,
1765121796453,1,40,,,1765121796463,10
1765121796479,1,41,41,,,
1765121796479,1,41,,,1765121796495,16
1765121796504,1,42,42,,,
1765121796504,1,42,,,1765121796512,8
1765121796530,1,43,43,,,
1765121796530,1,43,,,1765121796542,12
1765121796555,1,44,44,,,
1765121796555,1,44,,,1765121796559,4
1765121796581,1,45,45,,,
1765121796581,1,45,,,1765121796592,11
1765121796607,1,46,46,,,
1765121796607,1,46,,,1765121796607,0
1765121796632,1,47,47,,,
1765121796632,1,47,,,1765121796639,7
1765121796658,1,48,48,,,
1765121796658,1,48,,,1765121796670,12
1765121796683,1,49,49,,,
1765121796683,1,49,,,1765121796686,3
1765121796709,1,50,50,,,
1765121796709,1,50,,,1765121796719,10
1765121796735,1,51,51,,,
1765121796735,1,51,,,1765121796751,16
1765121796882,1,52,52,,,
1765121796882,1,52,,,1765121796892,10
1765121796908,1,53,53,,,
1765121796908,1,53,,,1765121796923,15
1765121796933,1,54,54,,,
1765121796933,1,54,,,1765121796939,6
1765121796959,1,55,55,,,
1765121796959,1,55,,,1765121796970,11
1765121796985,1,56,56,,,
1765121796985,1,56,,,1765121797001,16
1765121797011,1,57,57,,,
1765121797011,1,57,,,1765121797016,5
1765121797036,1,58,58,,,
1765121797036,1,58,,,1765121797048,12
1765121797062,1,59,59,,,
1765121797062,1,59,,,1765121797064,2
1765121797087,1,60,60,,,
1765121797087,1,60,,,1765121797097,10
1765121797114,1,61,61,,,
1765121797114,1,61,,,1765121797129,15
1765121797140,1,62,62,,,
1765121797140,1,62,,,1765121797145,5
1765121797166,1,63,63,,,
1765121797166,1,63,,,1765121797175,9
1765121797191,1,64,64,,,
1765121797191,1,64,,,1765121797207,16
1765121797217,1,65,65,,,
1765121797217,1,65,,,1765121797222,5
1765121797242,1,66,66,,,
1765121797242,1,66,,,1765121797254,12
1765121797268,1,67,67,,,
1765121797294,1,68,68,,,
1765121797319,1,69,69,,,
1765121797345,1,70,70,,,
1765121797370,1,71,71,,,
1765121797396,1,72,72,,,
1765121797422,1,73,73,,,
1765121797448,1,74,74,,,
1765121797474,1,75,75,,,
1765121797500,1,76,76,,,
1765121797268,1,67,,,1765121797502,234
1765121797294,1,68,,,1765121797502,208
1765121797319,1,69,,,1765121797502,183
1765121797345,1,70,,,1765121797502,157
1765121797370,1,71,,,1765121797502,132
1765121797396,1,72,,,1765121797502,106
1765121797422,1,73,,,1765121797502,80
1765121797448,1,74,,,1765121797502,54
1765121797474,1,75,,,1765121797502,28
1765121797500,1,76,,,1765121797502,2
1765121797525,1,77,77,,,
1765121797525,1,77,,,1765121797541,16
1765121797551,1,78,78,,,
1765121797551,1,78,,,1765121797572,21
1765121797576,1,79,79,,,
1765121797576,1,79,,,1765121797589,13
1765121797602,1,80,80,,,
1765121797602,1,80,,,1765121797605,3
1765121797628,1,81,81,,,
1765121797628,1,81,,,1765121797636,8
